When was Shakespeare baptized?	April 26, 1564
What is the longest word used by Costard in Love's Labour's Lost?	Honorificabilitudinitatibus
In which play does The Clown appear as a gullible or foolish character?	The Winter's Tale
Who provides a notable death eulogy for Sir John Falstaff in Henry V?	Mistress Quickly
Which character in Much Ado About Nothing is a fool?	Dogberry
What role does Feste play in Twelfth Night?	Wise person offering good advice
Which character is a jester and singer for Oberonb in A Midsummer Night's Dream?	Puck
What is Autolycus's role in The Winter's Tale?	Peddler and conman
Who is known for their wisdom and quick replies in As You Like It?	Touchstone
In which play does a Fool assume the role of Lear's protector and advocate?	King Lear
Who uses their great wit and intellect to progress the themes of death and old age in Hamlet?	The Gravediggers
Which character is a domestic fool in All's Well That Ends Well?	Lavache
What is the role of Rude Mechanicals in A Midsummer Night's Dream?	Simpleminded fools
In which play does Trinculo appear as a fool?	The Tempest
Who is known for their malapropism in The Merchant of Venice?	Launcelot Gobbo
Which character is a rustic country character in Love's Labour's Lost?	Costard
What is a notable characteristic of Sir John Falstaff in Henry IV?	Fat, boastful, and cowardly
"Who is known for saying, ""He breathed upon dead bodies and brought them into life"" about Shakespeare's clowns?"	Ralph Waldo Emerson.
What is the role of the Fool in King Lear?	Loyal protector and advocate
Who uses irony and sarcasm to point out Lear's	The Fool
Which character in A Midsummer Night's Dream is asimpleminded fool?	Nick Bottom
What does the character Lavache do in All's Well That Ends Well?	Acts as a domestic fool
Who mocks a school teacher using the longest word in Love's Labour's Lost?	Costard
"Which character is described as a ""melancholy Jaques""?"	Jaques
In which play does Costard mix up love letters and reveal secrets?	Love's Labour's Lost
Who plays tricks on many characters, including his blind father, in The Merchant of Venice?	Launcelot Gobbo
"Which character in Hamlet is a ""fellow of infinite jest""?"	Yorick
Who is the leader of the workmen in A Midsummer Night's Dream?	Nick Bottom
What is Autolycus's occupation in The Winter's Tale?	Peddler and conman
47. 48. Who is the fool in Twelfth Night?	Feste
Which play features a fool as a rogue character?	Timon of Athens
What role does Puck play in A Midsummer Night's Dream?	Jester to Oberon
Who is known for their sarcasm and irony in King Lear?	The Fool
Which character in The Merchant of Venice is in the habit of malapropism?	Launcelot Gobbo
In which play does the Clown appear as a gullible or foolish character?	Titus Andronicus
Who is transformed into a donkeyheaded lover in A Midsummer Night's Dream?	Nick Bottom.
What is the occupation of Autolycus in The Winter's Tale?	Peddler and conman
Who is known as the domestic fool in All's Well That Ends Well?	Lavache
Which character appears as a rogue in Timon of Athens?	The Fool
In which play does a Fool serve as Lear's protector and advocate?	King Lear
Who accompanies Rosalind and Celia in As You Like It?	Touchstone
Who is a peddler and conman in The Winter's Tale?	Autolycus
What is a notable characteristic of Sir John Falstaff?	Fat, boastful, and cowardly
"In which play does the song ""Fear no more the heat o' the sun"" occur?"	Cymbeline
"Who sings ""Fear no more the heat o' the sun"" in Cymbeline?"	Guiderius and Arviragus
"In which play is the Willow song ""The poor soul sat sighing by a sycamore tree"" used?"	Othello
Who sings the Willow song in Othello?	Desdemona
"In which play does the song ""It was a lover and his lass"" appear?"	As You Like It
"Who requests the song ""It was a lover and his lass"" in As You Like It?"	Touchstone
"In which play does ""O Mistress mine where are you roaming?"" occur?"	Twelfth Night
"Who sings ""O Mistress mine where are you roaming?"" in Twelfth Night?"	Feste
Which song is sung by Peter in Romeo and Juliet?	When gripping grief the heart doth wound
"Who contributed the song ""Full fathom five thy father lies"" to The Tempest?"	Robert Johnson
"In which act and scene of The Tempest does ""Full fathom five thy father lies"" occur?"	Act 1 Scene 2
"Who sings ""Full fathom five thy father lies"" in The Tempest?"	Ariel
"Which popular ballad is referred to in the song ""I see what thou wert, if fortune thy foe, where Nature thy friend""?"	Fortune My Foe
"In which play does the song ""Take away, oh take away"" occur?"	Measure for Measure
"Who sings ""Take away, oh take away"" in Measure for Measure?"	Aboy
"In which play does ""Under the greenwood tree' appear?"	As You Like It
"Who sings the song ""Under the greenwood tree"" in As You Like It?"	Amiens and Jaques
"In which play does ""When daisies pied and violets blue"" occur?"	Love's Labour's Lost
"Who sings ""When daisies pied and violets blue"" in Love's Labour's Lost?"	A boy
Which song from Twelfth Night tells a mistress to live in the present?	O Mistress mine where are you roaming?
"In which play does ""Blow blow thou winter wind"" occur?"	As You Like It
"Who sings ""Blow blow thou winter wind"" in As You Like It?"	Amiens
Which song is assumed to have been composed by Robin Armin in As You Like It?	When I was a little tiny
"In which play does the song ""Sigh no more, ladies"" occur?"	Much Ado About Nothing
"Who sings ""Sigh no more, ladies"" in Much Ado About Nothing?"	Balthasar
"What is the setting of ""Coriolanus""?"	Rome and Antium
"Where does ""Measure for Measure"" take place?"	Vienna
"Which city is the setting for ""The Taming of the Shrew""?"	Padua
"In which ancient city is ""Troilus and Cressida"" set?"	Troy
"Which two locations are central to the play ""King John""?"	Angiers and St. Edmundsbury
"What are the settings of ""Romeo and Juliet""?"	Verona and Montara
"Where do the events of ""Two Gentlemen of Verona"" take place?"	Verona and Milan
"In which forest does ""As You Like It"" occur?"	Forest of Arden
"Which castles are significant in ""King Lear""?"	Gloucester's castle and Dover
"What are the two main locations in ""The Winter's Tale""?"	Sicilia and Bohemia
"Where is ""Much Ado About Nothing"" set?"	Messina
"What are the settings of ""The Merchant of Venice""?"	Venice and Belmont
"Which city is the backdrop for ""A Midsummer Night's Dream""?"	Athens
"Where does ""The Tempest"" take place?"	An island in the Mediterranean Sea
"What are the settings of ""Cymbeline""?"	Britain and Rome
"Which locations are central to ""Antony and Cleopatra""?"	Alexandria, Rome, Messina and Athens
Which play features Benedick and Beatrice as a famous couple?	Much Ado About Nothing
In which play do Antony and Cleopatra appear as a couple?	Antony and Cleopatra
Orsino and Viola are famous couples in which play?	Twelfth Night
Which play features Romeo and Juliet as a couple?	Romeo and Juliet
Petruchio and Katherine are famous couples in which play?	The Taming of the Shrew
In which play do Macbeth and Lady Macbeth appear as a couple?	Macbeth
Othello and Desdemona are famous couples in which play?	Othello
Which play features Orlando and Rosalind as a couple?	As You Like It
In which play do Duke Orsino and Viola appear as a couple?	Twelfth Night
Olivia, Sebastian, and Antonio form a famous couple in which play?	Twelfth Night
In which play do The Duke and Isabella appear as acouple?	Measure for Measure
Bassanio and Portia are famous couples in which play?	The Merchant of Venice
Which play features Oberon and Titania as a couple?	A Midsummer Night's Dream.
Proteus and Julia are famous couples in which play?	The Two Gentlemen of Verona
In which play do Valentine and Sylvia appear as a couple?	The Two Gentlemen of Verona
Imogen and Posthumus are famous couples in which play?	Cymbeline
Anne Page and Fenton appear as a couple in which play?	The Merry Wives of Windsor
Pericles and Thaisa are famous couples in which play?	Pericles
Which play features Perdita and Florizel as a couple?	The Winter's Tale
Miranda and Ferdinand are famous couples in which play?	The Tempest
In which play do Titania and Bottom appear as a couple?	AMidsummer Night's Dream
Which play features Hamlet and Ophelia as a couple?	Hamlet
Kate and Petruchio are famous couples in which play?	The Taming of the Shrew
Touchstone and Audrey are famous couples in which play?	As You Like It
In which play do Regan and the Duke of Cornwall appear as a couple?	King Lear
Henry V and Katherine of Valois are famous couples in which play?	Henry V
Goneril and the Duke of Albany appear as a couple in which play?	King Lear
Emelia and Iago are famous couples in which play?	Othello
Othello and Desdemona appear as a couple in which play?	Othello
Helen and Menelaus are famous couples in which play?	Troilus and Cressida
Anne Bullen and Henry appear as a couple in which play?	Henry VIII
Margaret and King Henry are famous couples in which play?	Henry VI
Julia and Proteus appear as a couple in which play?	The Two Gentlemen of Verona
Jessica and Lorenzo are famous couples in which play?	The Merchant of Venice
Nick Bottom and Titania appear as a couple in which play?	A Midsummer Night's Dream
Bertram and Helena are famous couples in which play?	All's Well That Ends Well
In which play do Hamlet and Ophelia appear as a couple?	Hamlet
Portia and Brutus are famous couples in which play?	Julius Caesar
Julius Caesar and Calpurnia appear as a couple in which play?	Julius Caesar
